Time        Speed       Wheel       Brake       Acceleration 
5.56        29.74        -0.87        0.00        -100.00        
5.58        29.83        -0.87        0.00        -100.00        
5.60        29.92        -0.87        0.00        -100.00        
5.62        30.02        -0.87        0.00        -100.00        
5.64        30.11        -0.87        0.00        -100.00        
5.66        30.20        -0.87        0.00        -100.00        
5.68        30.29        -0.87        0.00        -100.00        
5.70        30.38        -0.87        0.00        -100.00        
5.72        30.48        -0.87        0.00        -100.00        
5.74        30.57        -0.87        0.00        -100.00        
5.76        30.66        -0.87        0.00        -100.00        
5.78        30.75        -0.87        0.00        -100.00        
5.80        30.84        -0.87        0.00        -100.00        
5.82        30.93        -0.87        0.00        -100.00        
5.84        31.02        -0.87        0.00        -100.00        
5.86        31.11        -0.87        0.00        -100.00        
5.88        31.20        -0.87        0.00        -100.00        
5.90        31.29        -0.87        0.00        -100.00        
5.92        31.38        -0.87        0.00        -100.00        
5.94        31.47        -0.87        0.00        -100.00        
5.96        31.56        -0.87        0.00        -100.00        
5.98        31.65        -0.87        0.00        -100.00        
6.00        31.74        -0.87        0.00        -100.00        
6.02        31.83        -0.87        0.00        -100.00        
6.04        31.92        -0.87        0.00        -100.00        
6.06        32.01        -0.87        0.00        -100.00        
6.08        32.10        -0.87        0.00        -100.00        
6.10        32.19        -0.87        0.00        -100.00        
6.12        32.28        -0.87        0.00        -100.00        
6.14        32.37        -0.87        0.00        -100.00        
6.16        32.45        -0.87        0.00        -100.00        
6.18        32.54        -0.87        0.00        -100.00        
6.20        32.63        -0.87        0.00        -100.00        
6.22        32.72        -0.87        0.00        -100.00        
6.24        32.81        -0.87        0.00        -100.00        
6.26        32.89        -0.87        0.00        -100.00        
6.28        32.98        -0.87        0.00        -100.00        
6.30        33.07        -0.87        0.00        -100.00        
6.32        33.16        -0.87        0.00        -100.00        
6.34        33.24        -0.87        0.00        -100.00        
6.36        33.33        -0.87        0.00        -100.00        
6.38        33.42        -0.87        0.00        -100.00        
6.40        33.50        -0.87        0.00        -100.00        
6.42        33.59        -0.87        0.00        -100.00        
6.44        33.68        -0.87        0.00        -100.00        
6.46        33.76        -0.87        0.00        -100.00        
6.48        33.85        -0.87        0.00        -100.00        
6.50        33.93        -0.87        0.00        -100.00        
6.52        34.02        -0.87        0.00        -100.00        
6.54        34.11        -0.87        0.00        -100.00        
6.56        34.19        -0.87        0.00        -100.00        
6.58        34.28        -0.87        0.00        -100.00        
6.60        34.36        -0.87        0.00        -100.00        
6.62        34.45        -0.87        0.00        -100.00        
6.64        34.53        -0.87        0.00        -100.00        
6.66        34.62        -0.87        0.00        -100.00        
6.68        34.70        -0.87        0.00        -100.00        
6.70        34.79        -0.87        0.00        -100.00        
6.72        34.87        -0.87        0.00        -100.00        
6.74        34.95        -0.87        0.00        -100.00        
6.76        35.04        -0.87        0.00        -100.00        
6.78        35.12        -0.87        0.00        -100.00        
6.80        35.21        -0.87        0.00        -100.00        
6.82        35.29        -0.87        0.00        -100.00        
6.84        35.37        -0.87        0.00        -100.00        
6.86        35.46        -0.87        0.00        -100.00        
6.88        35.54        -0.87        0.00        -100.00        
6.90        35.62        -0.87        0.00        -100.00        
6.92        35.71        -0.87        0.00        -100.00        
6.94        35.79        -0.87        0.00        -100.00        
6.96        35.87        -0.87        0.00        -100.00        
6.98        35.95        -0.87        0.00        -100.00        
7.00        36.04        -0.87        0.00        -100.00        
7.02        36.12        -0.87        0.00        -100.00        
7.04        36.20        -0.87        0.00        -100.00        
7.06        36.28        -0.87        0.00        -100.00        
7.08        36.37        -0.87        0.00        -100.00        
7.10        36.45        -0.87        0.00        -100.00        
7.12        36.53        -0.87        0.00        -100.00        
7.14        36.61        -0.87        0.00        -100.00        
7.16        36.69        -0.87        0.00        -100.00        
7.18        36.77        -0.87        0.00        -100.00        
7.20        36.85        -0.87        0.00        -100.00        
7.22        36.93        -0.87        0.00        -100.00        
7.24        37.02        -0.87        0.00        -100.00        
7.26        37.10        -0.87        0.00        -100.00        
7.28        37.18        -0.87        0.00        -100.00        
7.30        37.26        -0.87        0.00        -100.00        
7.32        37.34        -0.87        0.00        -100.00        
7.34        37.42        -0.87        0.00        -100.00        
7.36        37.50        -0.87        0.00        -100.00        
7.38        37.58        -0.87        0.00        -100.00        
7.40        37.66        -0.87        0.00        -100.00        
7.42        37.74        -0.87        0.00        -100.00        
7.44        37.82        -0.87        0.00        -100.00        
7.46        37.90        -0.87        0.00        -100.00        
7.48        37.98        -0.87        0.00        -100.00        
7.50        38.06        -0.87        0.00        -100.00        
7.52        38.13        -0.87        0.00        -100.00        
7.54        38.21        -0.87        0.00        -100.00        
7.56        38.29        -0.87        0.00        -100.00        
7.58        38.37        -0.87        0.00        -100.00        
7.60        38.45        -0.87        0.00        -100.00        
7.62        38.53        -0.87        0.00        -100.00        
7.64        38.61        -0.87        0.00        -100.00        
7.66        38.68        -0.87        0.00        -100.00        
7.68        38.76        -0.87        0.00        -100.00        
7.70        38.84        -0.87        0.00        -100.00        
7.72        38.92        -0.87        0.00        -100.00        
7.74        38.99        -0.87        0.00        -100.00        
7.76        39.07        -0.87        0.00        -100.00        
7.78        39.15        -0.87        0.00        -100.00        
7.80        39.23        -0.87        0.00        -100.00        
7.82        39.30        -0.87        0.00        -100.00        
7.84        39.38        -0.87        0.00        -100.00        
7.86        39.46        -0.87        0.00        -100.00        
7.88        39.53        -0.87        0.00        -100.00        
7.90        39.61        -0.87        0.00        -100.00        
7.92        39.69        -0.87        0.00        -100.00        
7.94        39.76        -0.87        0.00        -100.00        
7.96        39.84        -0.87        0.00        -100.00        
7.98        39.92        -0.87        0.00        -100.00        
8.00        39.99        -0.87        0.00        -100.00        
8.02        40.07        -0.87        0.00        -100.00        
8.04        40.14        -0.87        0.00        -100.00        
8.06        40.22        -0.87        0.00        -100.00        
8.08        40.29        -0.87        0.00        -100.00        
8.10        40.37        -0.87        0.00        -100.00        
8.12        40.45        -0.87        0.00        -100.00        
8.14        40.52        -0.87        0.00        -100.00        
8.16        40.60        -0.87        0.00        -100.00        
8.18        40.67        -0.87        0.00        -100.00        
8.20        40.75        -0.87        0.00        -100.00        
8.22        40.82        -0.87        0.00        -100.00        
8.24        40.89        -0.87        0.00        -100.00        
8.26        40.97        -0.87        0.00        -100.00        
8.28        41.04        -0.87        0.00        -100.00        
8.30        41.12        -0.87        0.00        -100.00        
8.32        41.19        -0.87        0.00        -100.00        
8.34        41.26        -0.87        0.00        -100.00        
8.36        41.34        -0.87        0.00        -100.00        
8.38        41.41        -0.87        0.00        -100.00        
8.40        41.49        -0.87        0.00        -100.00        
8.42        41.56        -0.87        0.00        -100.00        
8.44        41.63        -0.87        0.00        -100.00        
8.46        41.71        -0.87        0.00        -100.00        
8.48        41.78        -0.87        0.00        -100.00        
8.50        41.85        -0.87        0.00        -100.00        
8.52        41.92        -0.87        0.00        -100.00        
8.54        42.00        -0.87        0.00        -100.00        
8.56        42.07        -0.87        0.00        -100.00        
8.58        42.14        -0.87        0.00        -100.00        
8.60        42.21        -0.87        0.00        -100.00        
8.62        42.29        -0.87        0.00        -100.00        
8.64        42.36        -0.87        0.00        -100.00        
8.66        42.43        -0.87        0.00        -100.00        
8.68        42.50        -0.87        0.00        -100.00        
8.70        42.57        -0.87        0.00        -100.00        
8.72        42.65        -0.87        0.00        -100.00        
8.74        42.72        -0.87        0.00        -100.00        
8.76        42.79        -0.87        0.00        -100.00        
8.78        42.86        -0.87        0.00        -100.00        
8.80        42.93        -0.87        0.00        -100.00        
8.82        43.00        -0.87        0.00        -100.00        
8.84        43.07        -0.87        0.00        -100.00        
8.86        43.14        -0.87        0.00        -100.00        
8.88        43.21        -0.87        0.00        -100.00        
8.90        43.28        -0.87        0.00        -100.00        
8.92        43.36        -0.87        0.00        -100.00        
8.94        43.43        -0.87        0.00        -100.00        
8.96        43.50        -0.87        0.00        -100.00        
8.98        43.57        -0.87        0.00        -100.00        
9.00        43.64        -0.87        0.00        -100.00        
9.02        43.71        -0.87        0.00        -100.00        
9.04        43.78        -0.87        0.00        -100.00        
9.06        43.85        -0.87        0.00        -100.00        
9.08        43.91        -0.87        0.00        -100.00        
9.10        43.98        -0.87        0.00        -100.00        
9.12        44.05        -0.87        0.00        -100.00        
9.14        44.12        -0.87        0.00        -100.00        
9.16        44.19        -0.87        0.00        -100.00        
9.18        44.26        -0.87        0.00        -100.00        
9.20        44.33        -0.87        0.00        -100.00        
9.22        44.40        -0.87        0.00        -100.00        
9.24        44.47        -0.87        0.00        -100.00        
9.26        44.54        -0.87        0.00        -100.00        
9.28        44.60        -0.87        0.00        -100.00        
9.30        44.67        -0.87        0.00        -100.00        
9.32        44.74        -0.87        0.00        -100.00        
9.34        44.81        -0.87        0.00        -100.00        
9.36        44.88        -0.87        0.00        -100.00        
9.38        44.94        -0.87        0.00        -100.00        
9.40        45.01        -0.87        0.00        -100.00        
9.42        45.08        -0.87        0.00        -100.00        
9.44        45.15        -0.87        0.00        -100.00        
9.46        45.21        -0.87        0.00        -100.00        
9.48        45.28        -0.87        0.00        -100.00        
9.50        45.35        -0.87        0.00        -100.00        
9.52        45.42        -0.87        0.00        -100.00        
9.54        45.48        -0.87        0.00        -100.00        
9.56        45.55        -0.87        0.00        -100.00        
9.58        45.62        -0.87        0.00        -100.00        
9.60        45.68        -0.87        0.00        -100.00        
9.62        45.75        -0.87        0.00        -100.00        
9.64        45.82        -0.87        0.00        -100.00        
9.66        45.88        -0.87        0.00        -100.00        
9.68        45.95        -0.87        0.00        -100.00        
9.70        46.01        -0.87        0.00        -100.00        
9.72        46.08        -0.87        0.00        -100.00        
9.74        46.15        -0.87        0.00        -100.00        
9.76        46.21        -0.87        0.00        -100.00        
9.78        46.28        -0.87        0.00        -100.00        
9.80        46.34        -0.87        0.00        -100.00        
9.82        46.41        -0.87        0.00        -100.00        
9.84        46.47        -0.87        0.00        -100.00        
9.86        46.54        -0.87        0.00        -100.00        
9.88        46.60        -0.87        0.00        -100.00        
9.90        46.67        -0.87        0.00        -100.00        
9.92        46.73        -0.87        0.00        -100.00        
9.94        46.80        -0.87        0.00        -100.00        
9.96        46.86        -0.87        0.00        -100.00        
9.98        46.93        -0.87        0.00        -100.00        
10.00        46.99        -0.87        0.00        -100.00        
10.02        47.06        -0.87        0.00        -100.00        
10.04        47.12        -0.87        0.00        -100.00        
10.06        47.18        -0.87        0.00        -100.00        
10.08        47.25        -0.87        0.00        -100.00        
10.10        47.31        -0.87        0.00        -100.00        
10.12        47.38        -0.87        0.00        -100.00        
10.14        47.44        -0.87        0.00        -100.00        
10.16        47.50        -0.87        0.00        -100.00        
10.18        47.57        -0.87        0.00        -100.00        
10.20        47.63        -0.87        0.00        -100.00        
10.22        47.69        -0.87        0.00        -100.00        
10.24        47.76        -0.87        0.00        -100.00        
10.26        47.82        -0.87        0.00        -100.00        
10.28        47.88        -0.87        0.00        -100.00        
10.30        47.95        -0.87        0.00        -100.00        
10.32        48.01        -0.87        0.00        -100.00        
10.34        48.07        -0.87        0.00        -100.00        
10.36        48.13        -0.87        0.00        -100.00        
10.38        48.20        -0.87        0.00        -100.00        
10.40        48.26        -0.87        0.00        -100.00        
10.42        48.32        -0.87        0.00        -100.00        
10.44        48.38        -0.87        0.00        -100.00        
10.46        48.45        -0.87        0.00        -100.00        
10.48        48.51        -0.87        0.00        -100.00        
10.50        48.57        -0.87        0.00        -100.00        
10.52        48.63        -0.87        0.00        -100.00        
10.54        48.69        -0.87        0.00        -100.00        
10.56        48.75        -0.87        0.00        -100.00        
10.58        48.82        -0.87        0.00        -100.00        
10.60        48.88        -0.87        0.00        -100.00        
10.62        48.94        -0.87        0.00        -100.00        
10.64        49.00        -0.87        0.00        -100.00        
10.66        49.06        -0.87        0.00        -100.00        
10.68        49.12        -0.87        0.00        -100.00        
10.70        49.18        -0.87        0.00        -100.00        
10.72        49.24        -0.87        0.00        -100.00        
10.74        49.30        -0.87        0.00        -100.00        
10.76        49.36        -0.87        0.00        -100.00        
10.78        49.43        -0.87        0.00        -100.00        
10.80        49.49        -0.87        0.00        -100.00        
10.82        49.55        -0.87        0.00        -100.00        
10.84        49.61        -0.87        0.00        -100.00        
10.86        49.67        -0.87        0.00        -100.00        
10.88        49.73        -0.87        0.00        -100.00        
10.90        49.79        -0.87        0.00        -100.00        
10.92        49.85        -0.87        0.00        -100.00        
10.94        49.91        -0.87        0.00        -100.00        
10.96        49.96        -0.87        0.00        -100.00        
10.98        50.02        -0.87        0.00        -100.00        
11.00        50.08        -0.87        0.00        -100.00        
11.02        50.14        -0.87        0.00        -100.00        
11.04        50.20        -0.87        0.00        -100.00        
11.06        50.26        -0.87        0.00        -100.00        
11.08        50.32        -0.87        0.00        -100.00        
11.10        50.38        -0.87        0.00        -100.00        
11.12        50.44        -0.87        0.00        -100.00        
11.14        50.50        -0.87        0.00        -100.00        
11.16        50.56        -0.87        0.00        -100.00        
11.18        50.61        -0.87        0.00        -100.00        
11.20        50.67        -0.87        0.00        -100.00        
11.22        50.73        -0.87        0.00        -100.00        
11.24        50.79        -0.87        0.00        -100.00        
11.26        50.85        -0.87        0.00        -100.00        
11.28        50.90        -0.87        0.00        -100.00        
11.30        50.96        -0.87        0.00        -100.00        
11.32        51.02        -0.87        0.00        -100.00        
11.34        51.08        -0.87        0.00        -100.00        
11.36        51.14        -0.87        0.00        -100.00        
11.38        51.19        -0.87        0.00        -100.00        
11.40        51.25        -0.87        0.00        -100.00        
11.42        51.31        -0.87        0.00        -100.00        
11.44        51.37        -0.87        0.00        -100.00        
11.46        51.42        -0.87        0.00        -100.00        
11.48        51.48        -0.87        0.00        -100.00        
11.50        51.54        -0.87        0.00        -100.00        
11.52        51.59        -0.87        0.00        -100.00        
11.54        51.65        -0.87        0.00        -100.00        
11.56        51.71        -0.87        0.00        -100.00        
11.58        51.76        -0.87        0.00        -100.00        
11.60        51.82        -0.87        0.00        -100.00        
11.62        51.88        -0.87        0.00        -100.00        
11.64        51.93        -0.87        0.00        -100.00        
11.66        51.99        -0.87        0.00        -100.00        
11.68        52.05        -0.87        0.00        -100.00        
11.70        52.10        -0.87        0.00        -100.00        
11.72        52.16        -0.87        0.00        -100.00        
11.74        52.21        -0.87        0.00        -100.00        
11.76        52.27        -0.87        0.00        -100.00        
11.78        52.32        -0.87        0.00        -100.00        
11.80        52.38        -0.87        0.00        -100.00        
11.82        52.44        -0.87        0.00        -100.00        
11.84        52.49        -0.87        0.00        -100.00        
11.86        52.55        -0.87        0.00        -100.00        
11.88        52.60        -0.87        0.00        -100.00        
11.90        52.66        -0.87        0.00        -100.00        
11.92        52.71        -0.87        0.00        -100.00        
11.94        52.77        -0.87        0.00        -100.00        
11.96        52.82        -0.87        0.00        -100.00        
11.98        52.88        -0.87        0.00        -100.00        
12.00        52.93        -0.87        0.00        -100.00        
12.02        52.99        -0.87        0.00        -100.00        
12.04        53.04        -0.87        0.00        -100.00        
12.06        53.09        -0.87        0.00        -100.00        
12.08        53.15        -0.87        0.00        -100.00        
12.10        53.20        -0.87        0.00        -100.00        
12.12        53.26        -0.87        0.00        -100.00        
12.14        53.31        -0.87        0.00        -100.00        
12.16        53.37        -0.87        0.00        -100.00        
12.18        53.42        -0.87        0.00        -100.00        
12.20        53.47        -0.87        0.00        -100.00        
12.22        53.53        -0.87        0.00        -100.00        
12.24        53.58        -0.87        0.00        -100.00        
12.26        53.63        -0.87        0.00        -100.00        
12.28        53.69        -0.87        0.00        -100.00        
12.30        53.74        -0.87        0.00        -100.00        
12.32        53.79        -0.87        0.00        -100.00        
12.34        53.85        -0.87        0.00        -100.00        
12.36        53.90        -0.87        0.00        -100.00        
12.38        53.95        -0.87        0.00        -100.00        
12.40        54.01        -0.87        0.00        -100.00        
12.42        54.06        -0.87        0.00        -100.00        
12.44        54.11        -0.87        0.00        -100.00        
12.46        54.16        -0.87        0.00        -100.00        
12.48        54.22        -0.87        0.00        -100.00        
12.50        54.27        -0.87        0.00        -100.00        
12.52        54.32        -0.87        0.00        -100.00        
12.54        54.37        -0.87        0.00        -100.00        
12.56        54.43        -0.87        0.00        -100.00        
12.58        54.48        -0.87        0.00        -100.00        
12.60        54.53        -0.87        0.00        -100.00        
12.62        54.58        -0.87        0.00        -100.00        
12.64        54.63        -0.87        0.00        -100.00        
12.66        54.69        -0.87        0.00        -100.00        
