Time        Speed       Wheel       Brake       Acceleration 
9.52        41.84        -0.65        0.00        100.00        
9.54        41.90        -0.65        0.00        100.00        
9.56        41.96        -0.65        0.00        100.00        
9.58        42.02        -0.65        0.00        100.00        
9.60        42.08        -0.65        0.00        100.00        
9.62        42.14        -0.65        0.00        100.00        
9.64        42.19        -0.61        0.00        100.00        
9.66        42.25        -0.61        0.00        100.00        
9.68        42.31        -0.57        0.00        100.00        
9.70        42.37        -0.44        0.00        100.00        
9.72        42.43        -0.19        0.00        100.00        
9.74        42.48        -0.02        0.00        100.00        
9.76        42.54        0.10        0.00        100.00        
9.78        42.60        0.32        0.00        100.00        
9.80        42.65        0.57        0.00        100.00        
9.82        42.71        1.07        0.00        100.00        
9.84        42.77        1.33        0.00        100.00        
9.86        42.82        1.50        0.00        100.00        
9.88        42.88        1.62        0.00        100.00        
9.90        42.94        1.71        0.00        100.00        
9.92        42.99        1.75        0.00        100.00        
9.94        43.05        1.75        0.00        100.00        
9.96        43.11        1.75        0.00        100.00        
9.98        43.16        1.75        0.00        100.00        
10.00        43.22        1.75        0.00        100.00        
10.02        43.28        1.75        0.00        100.00        
10.04        43.33        1.75        0.00        100.00        
10.06        43.39        1.75        0.00        100.00        
10.08        43.44        1.75        0.00        100.00        
10.10        43.50        1.75        0.00        100.00        
10.12        43.55        1.75        0.00        100.00        
10.14        43.61        1.75        0.00        100.00        
10.16        43.66        1.75        0.00        100.00        
10.18        43.72        1.75        0.00        100.00        
10.20        43.77        1.75        0.00        100.00        
10.22        43.83        1.75        0.00        100.00        
10.24        43.88        1.75        0.00        100.00        
10.26        43.94        1.75        0.00        100.00        
10.28        43.99        1.75        0.00        100.00        
10.30        44.05        1.75        0.00        100.00        
10.32        44.10        1.75        0.00        100.00        
10.34        44.16        1.75        0.00        100.00        
10.36        44.21        1.75        0.00        100.00        
10.38        44.27        1.75        0.00        100.00        
10.40        44.32        1.75        0.00        100.00        
10.42        44.37        1.75        0.00        100.00        
10.44        44.43        1.75        0.00        100.00        
10.46        44.48        1.75        0.00        100.00        
10.48        44.53        1.75        0.00        100.00        
10.50        44.59        1.75        0.00        100.00        
10.52        44.64        1.75        0.00        100.00        
10.54        44.70        1.75        0.00        100.00        
10.56        44.75        1.75        0.00        100.00        
10.58        44.80        1.75        0.00        100.00        
10.60        44.85        1.75        0.00        100.00        
10.62        44.91        1.75        0.00        100.00        
10.64        44.96        1.75        0.00        100.00        
10.66        45.01        1.75        0.00        100.00        
10.68        45.07        1.75        0.00        100.00        
10.70        45.12        1.75        0.00        100.00        
10.72        45.17        1.75        0.00        100.00        
10.74        45.22        1.75        0.00        100.00        
10.76        45.28        1.75        0.00        100.00        
10.78        45.33        1.75        0.00        100.00        
10.80        45.38        1.71        0.00        100.00        
10.82        45.43        1.67        0.00        100.00        
10.84        45.48        1.62        0.00        100.00        
10.86        45.54        1.54        0.00        100.00        
10.88        45.59        1.41        0.00        100.00        
10.90        45.64        1.33        0.00        100.00        
10.92        45.69        1.24        0.00        100.00        
10.94        45.74        1.20        0.00        100.00        
10.96        45.79        1.16        0.00        100.00        
10.98        45.85        1.12        0.00        100.00        
11.00        45.90        1.12        0.00        100.00        
11.02        45.95        1.12        0.00        100.00        
11.04        46.00        1.12        0.00        100.00        
11.06        46.05        1.12        0.00        100.00        
11.08        46.10        1.12        0.00        100.00        
11.10        46.15        1.12        0.00        100.00        
