Time        Speed       Wheel       Brake       Acceleration 
5.36        28.45        0.00        0.00        -100.00        
5.38        28.53        0.00        0.00        -100.00        
5.40        28.61        0.00        0.00        -100.00        
5.42        28.70        0.00        0.00        -100.00        
5.44        28.78        0.00        0.00        -100.00        
5.46        28.86        0.00        0.00        -100.00        
5.48        28.94        0.00        0.00        -100.00        
5.50        29.03        0.00        0.00        -100.00        
5.52        29.11        0.00        0.00        -100.00        
5.54        29.19        0.00        0.00        -100.00        
5.56        29.27        0.00        0.00        -100.00        
5.58        29.35        0.00        0.00        -100.00        
5.60        29.43        0.00        0.00        -100.00        
5.62        29.51        0.00        0.00        -100.00        
5.64        29.60        0.00        0.00        -100.00        
5.66        29.68        0.00        0.00        -100.00        
5.68        29.76        0.00        0.00        -100.00        
5.70        29.84        0.00        0.00        -100.00        
5.72        29.92        0.00        0.00        -100.00        
5.74        30.00        0.00        0.00        -100.00        
5.76        30.08        0.00        0.00        -100.00        
5.78        30.16        0.00        0.00        -100.00        
5.80        30.24        0.00        0.00        -100.00        
5.82        30.32        0.00        0.00        -100.00        
5.84        30.40        0.00        0.00        -100.00        
5.86        30.48        0.00        0.00        -100.00        
5.88        30.55        0.00        0.00        -100.00        
5.90        30.63        0.00        0.00        -100.00        
5.92        30.71        0.00        0.00        -100.00        
5.94        30.79        0.00        0.00        -100.00        
5.96        30.87        0.00        0.00        -100.00        
5.98        30.95        0.00        0.00        -100.00        
6.00        31.03        0.00        0.00        -100.00        
6.02        31.10        0.00        0.00        -100.00        
6.04        31.18        0.00        0.00        -100.00        
6.06        31.26        0.00        0.00        -100.00        
6.08        31.34        0.00        0.00        -100.00        
6.10        31.42        0.00        0.00        -100.00        
6.12        31.49        0.00        0.00        -100.00        
6.14        31.57        0.00        0.00        -100.00        
6.16        31.65        0.00        0.00        -100.00        
6.18        31.72        0.00        0.00        -100.00        
6.20        31.80        0.00        0.00        -100.00        
6.22        31.88        0.00        0.00        -100.00        
6.24        31.96        0.00        0.00        -100.00        
6.26        32.03        0.00        0.00        -100.00        
6.28        32.11        0.00        0.00        -100.00        
6.30        32.18        0.00        0.00        -100.00        
6.32        32.26        0.00        0.00        -100.00        
6.34        32.34        0.00        0.00        -100.00        
6.36        32.41        0.00        0.00        -100.00        
6.38        32.49        0.00        0.00        -100.00        
6.40        32.56        0.00        0.00        -100.00        
6.42        32.64        0.00        0.00        -100.00        
6.44        32.71        0.00        0.00        -100.00        
6.46        32.79        0.00        0.00        -100.00        
6.48        32.86        0.00        0.00        -100.00        
6.50        32.94        0.00        0.00        -100.00        
6.52        33.01        0.00        0.00        -100.00        
6.54        33.09        0.00        0.00        -100.00        
6.56        33.16        0.00        0.00        -100.00        
6.58        33.24        0.00        0.00        -100.00        
6.60        33.31        0.00        0.00        -100.00        
6.62        33.38        0.00        0.00        -100.00        
6.64        33.46        0.00        0.00        -100.00        
6.66        33.53        0.00        0.00        -100.00        
6.68        33.61        0.00        0.00        -100.00        
6.70        33.68        0.00        0.00        -100.00        
6.72        33.75        0.00        0.00        -100.00        
6.74        33.83        0.00        0.00        -100.00        
6.76        33.90        0.00        0.00        -100.00        
6.78        33.97        0.00        0.00        -100.00        
6.80        34.04        0.00        0.00        -100.00        
6.82        34.12        0.00        0.00        -100.00        
6.84        34.19        0.00        0.00        -100.00        
6.86        34.26        0.00        0.00        -100.00        
6.88        34.33        0.00        0.00        -100.00        
6.90        34.41        0.00        0.00        -100.00        
6.92        34.48        0.00        0.00        -100.00        
6.94        34.55        0.00        0.00        -100.00        
6.96        34.62        0.00        0.00        -100.00        
6.98        34.69        0.00        0.00        -100.00        
7.00        34.77        0.00        0.00        -100.00        
7.02        34.84        0.00        0.00        -100.00        
7.04        34.91        0.00        0.00        -100.00        
7.06        34.98        0.00        0.00        -100.00        
7.08        35.05        0.00        0.00        -100.00        
7.10        35.12        0.00        0.00        -100.00        
7.12        35.19        0.00        0.00        -100.00        
7.14        35.26        0.00        0.00        -100.00        
7.16        35.33        0.00        0.00        -100.00        
7.18        35.40        0.00        0.00        -100.00        
7.20        35.47        0.00        0.00        -100.00        
7.22        35.54        0.00        0.00        -100.00        
7.24        35.61        0.00        0.00        -100.00        
7.26        35.68        0.00        0.00        -100.00        
7.28        35.75        0.00        0.00        -100.00        
7.30        35.82        0.00        0.00        -100.00        
7.32        35.89        0.00        0.00        -100.00        
7.34        35.96        0.00        0.00        -100.00        
7.36        36.03        0.00        0.00        -100.00        
7.38        36.10        0.00        0.00        -100.00        
7.40        36.17        0.00        0.00        -100.00        
7.42        36.24        0.00        0.00        -100.00        
7.44        36.31        0.00        0.00        -100.00        
7.46        36.37        0.00        0.00        -100.00        
7.48        36.44        0.00        0.00        -100.00        
7.50        36.51        0.00        0.00        -100.00        
7.52        36.58        0.00        0.00        -100.00        
7.54        36.65        0.00        0.00        -100.00        
7.56        36.71        0.00        0.00        -100.00        
7.58        36.78        0.00        0.00        -100.00        
7.60        36.85        0.00        0.00        -100.00        
7.62        36.92        0.00        0.00        -100.00        
