Time        Speed       Wheel       Brake       Acceleration 
8.04        27.18        -1.03        0.00        -100.00        
8.06        27.28        -1.03        0.00        -100.00        
8.08        27.37        -1.03        0.00        -100.00        
8.10        27.47        -1.03        0.00        -100.00        
8.12        27.57        -1.03        0.00        -100.00        
8.14        27.66        -1.03        0.00        -100.00        
8.16        27.76        -1.03        0.00        -100.00        
8.18        27.85        -1.03        0.00        -100.00        
8.20        27.95        -1.03        0.00        -100.00        
8.22        28.04        -1.03        0.00        -100.00        
8.24        28.14        -1.03        0.00        -100.00        
8.26        28.24        -1.03        0.00        -100.00        
8.28        28.33        -1.03        0.00        -100.00        
8.30        28.43        -1.03        0.00        -100.00        
8.32        28.52        -1.03        0.00        -100.00        
8.34        28.62        -1.03        0.00        -100.00        
8.36        28.71        -1.03        0.00        -100.00        
8.38        28.80        -1.03        0.00        -100.00        
8.40        28.90        -1.03        0.00        -100.00        
8.42        28.99        -1.03        0.00        -100.00        
8.44        29.09        -1.03        0.00        -100.00        
8.46        29.18        -1.03        0.00        -100.00        
8.48        29.27        -1.03        0.00        -100.00        
8.50        29.37        -1.03        0.00        -100.00        
8.52        29.46        -1.03        0.00        -100.00        
8.54        29.55        -1.03        0.00        -100.00        
8.56        29.65        -1.03        0.00        -100.00        
8.58        29.74        -1.03        0.00        -100.00        
8.60        29.83        -1.03        0.00        -100.00        
8.62        29.92        -1.03        0.00        -100.00        
8.64        30.02        -1.03        0.00        -100.00        
8.66        30.11        -1.03        0.00        -100.00        
8.68        30.20        -1.03        0.00        -100.00        
8.70        30.29        -1.03        0.00        -100.00        
8.72        30.38        -1.03        0.00        -100.00        
8.74        30.48        -1.03        0.00        -100.00        
8.76        30.57        -1.03        0.00        -100.00        
8.78        30.66        -1.03        0.00        -100.00        
8.80        30.75        -1.03        0.00        -100.00        
8.82        30.84        -1.03        0.00        -100.00        
8.84        30.93        -1.03        0.00        -100.00        
8.86        31.02        -1.03        0.00        -100.00        
8.88        31.11        -1.03        0.00        -100.00        
8.90        31.20        -1.03        0.00        -100.00        
8.92        31.29        -1.03        0.00        -100.00        
8.94        31.38        -1.03        0.00        -100.00        
8.96        31.47        -1.03        0.00        -100.00        
8.98        31.56        -1.03        0.00        -100.00        
9.00        31.65        -1.03        0.00        -100.00        
9.02        31.74        -1.03        0.00        -100.00        
9.04        31.83        -1.03        0.00        -100.00        
9.06        31.92        -1.03        0.00        -100.00        
9.08        32.01        -1.03        0.00        -100.00        
9.10        32.10        -1.03        0.00        -100.00        
9.12        32.19        -1.03        0.00        -100.00        
9.14        32.28        -1.03        0.00        -100.00        
9.16        32.37        -1.03        0.00        -100.00        
9.18        32.45        -1.03        0.00        -100.00        
9.20        32.54        -1.03        0.00        -100.00        
9.22        32.63        -1.03        0.00        -100.00        
9.24        32.72        -1.03        0.00        -100.00        
9.26        32.81        -1.03        0.00        -100.00        
9.28        32.89        -1.03        0.00        -100.00        
9.30        32.98        -1.03        0.00        -100.00        
9.32        33.07        -1.03        0.00        -100.00        
9.34        33.16        -1.03        0.00        -100.00        
9.36        33.24        -1.03        0.00        -100.00        
9.38        33.33        -1.03        0.00        -100.00        
9.40        33.42        -1.03        0.00        -100.00        
9.42        33.50        -1.03        0.00        -100.00        
9.44        33.59        -1.03        0.00        -100.00        
9.46        33.68        -1.03        0.00        -100.00        
9.48        33.76        -1.03        0.00        -100.00        
9.50        33.85        -1.03        0.00        -100.00        
9.52        33.93        -1.03        0.00        -100.00        
9.54        34.02        -1.03        0.00        -100.00        
9.56        34.11        -1.03        0.00        -100.00        
9.58        34.19        -1.03        0.00        -100.00        
9.60        34.28        -1.03        0.00        -100.00        
9.62        34.36        -1.03        0.00        -100.00        
9.64        34.45        -1.03        0.00        -100.00        
9.66        34.53        -1.03        0.00        -100.00        
9.68        34.62        -1.03        0.00        -100.00        
9.70        34.70        -1.03        0.00        -100.00        
9.72        34.79        -1.03        0.00        -100.00        
9.74        34.87        -1.03        0.00        -100.00        
9.76        34.95        -1.03        0.00        -100.00        
9.78        35.04        -1.03        0.00        -100.00        
9.80        35.12        -1.03        0.00        -100.00        
9.82        35.21        -1.03        0.00        -100.00        
9.84        35.29        -1.03        0.00        -100.00        
9.86        35.37        -1.03        0.00        -100.00        
9.88        35.46        -1.03        0.00        -100.00        
9.90        35.54        -1.03        0.00        -100.00        
9.92        35.62        -1.03        0.00        -100.00        
9.94        35.71        -1.03        0.00        -100.00        
9.96        35.79        -1.03        0.00        -100.00        
9.98        35.87        -1.03        0.00        -100.00        
10.00        35.96        -1.03        0.00        -100.00        
10.02        36.04        -1.03        0.00        -100.00        
10.04        36.12        -1.03        0.00        -100.00        
10.06        36.20        -1.03        0.00        -100.00        
10.08        36.28        -1.03        0.00        -100.00        
10.10        36.37        -1.03        0.00        -100.00        
10.12        36.45        -1.03        0.00        -100.00        
10.14        36.53        -1.03        0.00        -100.00        
10.16        36.61        -1.03        0.00        -100.00        
10.18        36.69        -1.03        0.00        -100.00        
10.20        36.77        -1.03        0.00        -100.00        
10.22        36.85        -1.03        0.00        -100.00        
10.24        36.94        -1.03        0.00        -100.00        
10.26        37.02        -1.03        0.00        -100.00        
10.28        37.10        -1.03        0.00        -100.00        
10.30        37.18        -1.03        0.00        -100.00        
10.32        37.26        -1.03        0.00        -100.00        
10.34        37.34        -1.03        0.00        -100.00        
10.36        37.42        -1.03        0.00        -100.00        
10.38        37.50        -1.03        0.00        -100.00        
10.40        37.58        -1.03        0.00        -100.00        
10.42        37.66        -1.03        0.00        -100.00        
10.44        37.74        -1.03        0.00        -100.00        
10.46        37.82        -1.03        0.00        -100.00        
10.48        37.90        -1.03        0.00        -100.00        
10.50        37.98        -1.03        0.00        -100.00        
10.52        38.06        -1.03        0.00        -100.00        
10.54        38.13        -1.03        0.00        -100.00        
10.56        38.21        -1.03        0.00        -100.00        
10.58        38.29        -1.03        0.00        -100.00        
10.60        38.37        -1.03        0.00        -100.00        
10.62        38.45        -1.03        0.00        -100.00        
10.64        38.53        -1.03        0.00        -100.00        
10.66        38.61        -1.03        0.00        -100.00        
10.68        38.68        -1.03        0.00        -100.00        
10.70        38.76        -1.03        0.00        -100.00        
10.72        38.84        -1.03        0.00        -100.00        
10.74        38.92        -1.03        0.00        -100.00        
10.76        38.99        -1.03        0.00        -100.00        
10.78        39.07        -1.03        0.00        -100.00        
10.80        39.15        -1.03        0.00        -100.00        
10.82        39.23        -1.03        0.00        -100.00        
10.84        39.30        -1.03        0.00        -100.00        
10.86        39.38        -1.03        0.00        -100.00        
10.88        39.46        -1.03        0.00        -100.00        
10.90        39.53        -1.03        0.00        -100.00        
10.92        39.61        -1.03        0.00        -100.00        
10.94        39.69        -1.03        0.00        -100.00        
10.96        39.76        -1.03        0.00        -100.00        
10.98        39.84        -1.03        0.00        -100.00        
11.00        39.92        -1.03        0.00        -100.00        
11.02        39.99        -1.03        0.00        -100.00        
11.04        40.07        -1.03        0.00        -100.00        
11.06        40.14        -1.03        0.00        -100.00        
11.08        40.22        -1.03        0.00        -100.00        
11.10        40.29        -1.03        0.00        -100.00        
11.12        40.37        -1.03        0.00        -100.00        
11.14        40.45        -1.03        0.00        -100.00        
11.16        40.52        -1.03        0.00        -100.00        
11.18        40.60        -1.03        0.00        -100.00        
11.20        40.67        -1.03        0.00        -100.00        
11.22        40.74        -1.03        0.00        -100.00        
11.24        40.82        -1.03        0.00        -100.00        
11.26        40.89        -1.03        0.00        -100.00        
11.28        40.97        -1.03        0.00        -100.00        
11.30        41.04        -1.03        0.00        -100.00        
11.32        41.12        -1.03        0.00        -100.00        
11.34        41.19        -1.03        0.00        -100.00        
11.36        41.26        -1.03        0.00        -100.00        
11.38        41.34        -1.03        0.00        -100.00        
11.40        41.41        -1.03        0.00        -100.00        
11.42        41.49        -1.03        0.00        -100.00        
11.44        41.56        -1.03        0.00        -100.00        
11.46        41.63        -1.03        0.00        -100.00        
11.48        41.70        -1.03        0.00        -100.00        
11.50        41.78        -1.03        0.00        -100.00        
11.52        41.85        -1.03        0.00        -100.00        
11.54        41.92        -1.03        0.00        -100.00        
11.56        42.00        -1.03        0.00        -100.00        
11.58        42.07        -1.03        0.00        -100.00        
11.60        42.14        -1.03        0.00        -100.00        
11.62        42.21        -1.03        0.00        -100.00        
11.64        42.29        -1.03        0.00        -100.00        
11.66        42.36        -1.03        0.00        -100.00        
11.68        42.43        -1.03        0.00        -100.00        
11.70        42.50        -1.03        0.00        -100.00        
11.72        42.57        -1.03        0.00        -100.00        
11.74        42.64        -1.03        0.00        -100.00        
11.76        42.72        -1.03        0.00        -100.00        
11.78        42.79        -1.03        0.00        -100.00        
11.80        42.86        -1.03        0.00        -100.00        
11.82        42.93        -1.03        0.00        -100.00        
11.84        43.00        -1.03        0.00        -100.00        
11.86        43.07        -1.03        0.00        -100.00        
11.88        43.14        -1.03        0.00        -100.00        
11.90        43.17        -1.03        0.00        -100.00        
11.92        43.21        -1.03        0.00        -100.00        
11.94        43.15        -1.03        0.00        -100.00        
11.96        43.09        -1.03        0.00        -100.00        
11.98        43.00        -1.03        0.00        -100.00        
12.00        42.92        -1.03        0.00        -100.00        
12.02        43.13        -1.03        0.00        -100.00        
12.04        43.11        -1.03        0.00        -100.00        
12.06        43.12        -1.03        0.00        -100.00        
12.08        43.15        -1.03        0.00        -100.00        
12.10        43.20        -1.03        0.00        -100.00        
12.12        43.26        -1.03        0.00        -100.00        
12.14        43.33        -1.03        0.00        -100.00        
12.16        43.40        -1.03        0.00        -100.00        
12.18        43.48        -1.03        0.00        -100.00        
12.20        43.55        -1.03        0.00        -100.00        
12.22        43.62        -1.03        0.00        -100.00        
12.24        43.70        -1.03        0.00        -100.00        
12.26        43.77        -1.03        0.00        -100.00        
12.28        43.84        -1.03        0.00        -100.00        
12.30        43.91        -1.03        0.00        -100.00        
