Time        Speed       Wheel       Brake       Acceleration 
7.88        29.74        0.00        0.00        -100.00        
7.90        29.83        0.00        0.00        -100.00        
7.92        29.92        0.00        0.00        -100.00        
7.94        30.02        0.00        0.00        -100.00        
7.96        30.11        0.00        0.00        -100.00        
7.98        30.20        0.00        0.00        -100.00        
8.00        30.29        0.00        0.00        -100.00        
8.02        30.38        0.00        0.00        -100.00        
8.04        30.48        0.00        0.00        -100.00        
8.06        30.57        0.00        0.00        -100.00        
8.08        30.66        0.00        0.00        -100.00        
8.10        30.75        0.00        0.00        -100.00        
8.12        30.84        0.00        0.00        -100.00        
8.14        30.93        0.00        0.00        -100.00        
8.16        31.02        0.00        0.00        -100.00        
8.18        31.11        0.00        0.00        -100.00        
8.20        31.20        0.00        0.00        -100.00        
8.22        31.29        0.00        0.00        -100.00        
8.24        31.38        0.00        0.00        -100.00        
8.26        31.47        0.00        0.00        -100.00        
8.28        31.56        0.00        0.00        -100.00        
8.30        31.65        0.00        0.00        -100.00        
8.32        31.74        0.00        0.00        -100.00        
8.34        31.83        0.00        0.00        -100.00        
8.36        31.92        0.00        0.00        -100.00        
8.38        32.01        0.00        0.00        -100.00        
8.40        32.10        0.00        0.00        -100.00        
8.42        32.19        0.00        0.00        -100.00        
8.44        32.28        0.00        0.00        -100.00        
8.46        32.37        0.00        0.00        -100.00        
8.48        32.45        0.00        0.00        -100.00        
8.50        32.54        0.00        0.00        -100.00        
8.52        32.63        0.00        0.00        -100.00        
8.54        32.72        0.00        0.00        -100.00        
8.56        32.81        0.00        0.00        -100.00        
8.58        32.89        0.00        0.00        -100.00        
8.60        32.98        0.00        0.00        -100.00        
8.62        33.07        0.00        0.00        -100.00        
8.64        33.16        0.00        0.00        -100.00        
8.66        33.24        0.00        0.00        -100.00        
8.68        33.33        0.00        0.00        -100.00        
8.70        33.42        0.00        0.00        -100.00        
8.72        33.50        0.00        0.00        -100.00        
8.74        33.59        0.00        0.00        -100.00        
8.76        33.68        0.00        0.00        -100.00        
8.78        33.76        0.00        0.00        -100.00        
8.80        33.85        0.00        0.00        -100.00        
8.82        33.93        0.00        0.00        -100.00        
8.84        34.02        0.00        0.00        -100.00        
8.86        34.11        0.00        0.00        -100.00        
8.88        34.19        0.00        0.00        -100.00        
8.90        34.28        0.00        0.00        -100.00        
8.92        34.36        0.00        0.00        -100.00        
8.94        34.45        0.00        0.00        -100.00        
8.96        34.53        0.00        0.00        -100.00        
8.98        34.62        0.00        0.00        -100.00        
9.00        34.70        0.00        0.00        -100.00        
9.02        34.79        0.00        0.00        -100.00        
9.04        34.87        0.00        0.00        -100.00        
9.06        34.95        0.00        0.00        -100.00        
9.08        35.04        0.00        0.00        -100.00        
9.10        35.12        0.00        0.00        -100.00        
9.12        35.21        0.00        0.00        -100.00        
9.14        35.29        0.00        0.00        -100.00        
9.16        35.37        0.00        0.00        -100.00        
9.18        35.46        0.00        0.00        -100.00        
9.20        35.54        0.00        0.00        -100.00        
9.22        35.62        0.00        0.00        -100.00        
9.24        35.71        0.00        0.00        -100.00        
9.26        35.79        0.00        0.00        -100.00        
9.28        35.87        0.00        0.00        -100.00        
9.30        35.95        0.00        0.00        -100.00        
9.32        36.04        0.00        0.00        -100.00        
9.34        36.12        0.00        0.00        -100.00        
9.36        36.20        0.00        0.00        -100.00        
9.38        36.28        0.00        0.00        -100.00        
9.40        36.37        0.00        0.00        -100.00        
9.42        36.45        0.00        0.00        -100.00        
9.44        36.53        0.00        0.00        -100.00        
9.46        36.61        0.00        0.00        -100.00        
9.48        36.69        0.00        0.00        -100.00        
9.50        36.77        0.00        0.00        -100.00        
9.52        36.85        0.00        0.00        -100.00        
9.54        36.94        0.00        0.00        -100.00        
9.56        37.02        0.00        0.00        -100.00        
9.58        37.10        0.00        0.00        -100.00        
9.60        37.18        0.00        0.00        -100.00        
9.62        37.26        0.00        0.00        -100.00        
9.64        37.34        0.00        0.00        -100.00        
9.66        37.42        0.00        0.00        -100.00        
9.68        37.50        0.00        0.00        -100.00        
9.70        37.58        0.00        0.00        -100.00        
9.72        37.66        0.00        0.00        -100.00        
9.74        37.74        0.00        0.00        -100.00        
9.76        37.82        0.00        0.00        -100.00        
9.78        37.90        0.00        0.00        -100.00        
9.80        37.98        0.00        0.00        -100.00        
9.82        38.06        0.00        0.00        -100.00        
9.84        38.13        0.00        0.00        -100.00        
9.86        38.21        0.00        0.00        -100.00        
9.88        38.29        0.00        0.00        -100.00        
9.90        38.37        0.00        0.00        -100.00        
9.92        38.45        0.00        0.00        -100.00        
9.94        38.53        0.00        0.00        -100.00        
9.96        38.61        0.00        0.00        -100.00        
9.98        38.68        0.00        0.00        -100.00        
10.00        38.76        0.00        0.00        -100.00        
10.02        38.84        0.00        0.00        -100.00        
10.04        38.92        0.00        0.00        -100.00        
10.06        39.00        0.00        0.00        -100.00        
10.08        39.07        0.00        0.00        -100.00        
10.10        39.15        0.00        0.00        -100.00        
10.12        39.23        0.00        0.00        -100.00        
10.14        39.30        0.00        0.00        -100.00        
10.16        39.38        0.00        0.00        -100.00        
10.18        39.46        0.00        0.00        -100.00        
10.20        39.53        0.00        0.00        -100.00        
10.22        39.61        0.00        0.00        -100.00        
10.24        39.69        0.00        0.00        -100.00        
10.26        39.76        0.00        0.00        -100.00        
10.28        39.84        0.00        0.00        -100.00        
10.30        39.92        0.00        0.00        -100.00        
10.32        39.99        0.00        0.00        -100.00        
10.34        40.07        0.00        0.00        -100.00        
10.36        40.14        0.00        0.00        -100.00        
10.38        40.22        0.00        0.00        -100.00        
10.40        40.30        0.00        0.00        -100.00        
10.42        40.37        0.00        0.00        -100.00        
10.44        40.45        0.00        0.00        -100.00        
10.46        40.52        0.00        0.00        -100.00        
10.48        40.60        0.00        0.00        -100.00        
10.50        40.67        0.00        0.00        -100.00        
10.52        40.75        0.00        0.00        -100.00        
