Time        Speed       Wheel       Brake       Acceleration 
5.18        29.73        0.99        0.00        0.00        
5.20        29.82        0.99        0.00        0.00        
5.22        29.91        0.99        0.00        0.00        
5.24        30.00        0.99        0.00        0.00        
5.26        30.10        0.99        0.00        0.00        
5.28        30.19        0.99        0.00        0.00        
5.30        30.28        0.99        0.00        0.00        
5.32        30.37        0.99        0.00        0.00        
5.34        30.46        0.99        0.00        0.00        
5.36        30.56        0.99        0.00        0.00        
5.38        30.65        0.99        0.00        0.00        
5.40        30.74        0.99        0.00        0.00        
5.42        30.83        0.99        0.00        0.00        
5.44        30.92        0.99        0.00        0.00        
5.46        31.01        0.99        0.00        0.00        
5.48        31.10        0.99        0.00        0.00        
5.50        31.19        0.99        0.00        0.00        
5.52        31.28        0.99        0.00        0.00        
5.54        31.37        0.99        0.00        0.00        
5.56        31.46        0.99        0.00        0.00        
5.58        31.55        0.99        0.00        0.00        
5.60        31.64        0.99        0.00        0.00        
5.62        31.73        0.99        0.00        0.00        
5.64        31.82        0.99        0.00        0.00        
5.66        31.91        0.99        0.00        0.00        
5.68        32.00        0.99        0.00        0.00        
5.70        32.09        0.99        0.00        0.00        
5.72        32.18        0.99        0.00        0.00        
5.74        32.27        0.99        0.00        0.00        
5.76        32.35        0.99        0.00        0.00        
5.78        32.44        0.99        0.00        0.00        
5.80        32.53        0.99        0.00        0.00        
5.82        32.62        0.99        0.00        0.00        
5.84        32.71        0.99        0.00        0.00        
5.86        32.79        0.99        0.00        0.00        
5.88        32.88        0.99        0.00        0.00        
5.90        32.97        0.99        0.00        0.00        
5.92        33.06        0.99        0.00        0.00        
5.94        33.14        0.99        0.00        0.00        
5.96        33.23        0.99        0.00        0.00        
5.98        33.32        0.99        0.00        0.00        
6.00        33.40        0.99        0.00        0.00        
6.02        33.49        0.99        0.00        0.00        
6.04        33.58        0.99        0.00        0.00        
6.06        33.66        0.99        0.00        0.00        
6.08        33.75        0.99        0.00        0.00        
6.10        33.84        0.99        0.00        0.00        
6.12        33.92        0.99        0.00        0.00        
6.14        34.01        0.99        0.00        0.00        
6.16        34.09        0.99        0.00        0.00        
6.18        34.18        0.99        0.00        0.00        
6.20        34.26        0.99        0.00        0.00        
6.22        34.35        0.99        0.00        0.00        
6.24        34.44        0.99        0.00        0.00        
6.26        34.52        0.99        0.00        0.00        
6.28        34.60        0.99        0.00        0.00        
6.30        34.69        0.99        0.00        0.00        
6.32        34.77        0.99        0.00        0.00        
6.34        34.86        0.99        0.00        0.00        
6.36        34.94        0.99        0.00        0.00        
6.38        35.03        0.99        0.00        0.00        
6.40        35.11        0.99        0.00        0.00        
6.42        35.19        0.99        0.00        0.00        
6.44        35.28        0.99        0.00        0.00        
6.46        35.36        0.99        0.00        0.00        
6.48        35.44        0.99        0.00        0.00        
6.50        35.53        0.99        0.00        0.00        
6.52        35.61        0.99        0.00        0.00        
6.54        35.69        0.99        0.00        0.00        
6.56        35.78        0.99        0.00        0.00        
6.58        35.86        0.99        0.00        0.00        
6.60        35.94        0.99        0.00        0.00        
6.62        36.02        0.99        0.00        0.00        
6.64        36.11        0.99        0.00        0.00        
6.66        36.19        0.99        0.00        0.00        
6.68        36.27        0.99        0.00        0.00        
6.70        36.35        0.99        0.00        0.00        
6.72        36.44        0.99        0.00        0.00        
6.74        36.52        0.99        0.00        0.00        
